CODCASIO;ART_PRE
CODCASIO;ART_PRE
A-100WE-7B;76,00
A-100WEFG-9A;121,00
A-130WE-7A;123,00
A-130WEG-9A;172,00
A-158WA-1D;41,00
A-158WEM-3D;123,00
A-158WEM-7D;123,00
A-159WA-N1;48,00
A-159WGEA-1D;103,00
A-159W-N1;44,00
A-168WA-1W;51,00
A-168WA-3A;51,00
A-168WA-5A;51,00
A-168WA-8A;51,00
A-168WEMB-1B;159,00
A-168WG-9W;88,00
A-168WGG-1A;92,00
A-168WGG-1B;92,00
A-178WA-1A;47,00
A-500WA-1D;64,00
A-500WA-7D;64,00
A-500WGA-1D;109,00
A-500WGA-9D;109,00
A-700W-1A;62,00
A-700WEV-7A;98,00
A-700WEVG-9A;140,00
A-700WG-9A;112,00
A-700WMG-9A;113,00
ABL-100WE-1A;144,00
ABL-100WE-1B;144,00
AE-1000W-1A;57,00
AE-1000W-1B;57,00
AE-1000W-2A;57,00
AE-1000W-3A;57,00
AE-1000W-4B;57,00
AE-1000W-5A;57,00
AE-1000W-8A;57,00
AE-1000WD-1A;71,00
AE-1100W-1A;63,00
AE-1200WH-1A;63,00
AE-1200WH-1B;63,00
AE-1200WHB-1B;68,00
AE-1200WHB-3B;68,00
AE-1200WHD-1A;76,00
AE-1300WH-1A2;63,00
AE-1300WH-2A;63,00
AE-1300WH-8A;63,00
AE-1400WH-9A;69,00
AE-1500WH-1A;64,00
AE-1500WH-2A;64,00
AE-1500WH-8B;64,00
AE-1500WH-8B2;64,00
AE-1500WHX-1A;53,00
AE-1500WHX-3A;53,00
AE-1600H-1A;70,00
AE-1600H-5A;70,00
AE-1600H-8B;70,00
AE-1700H-1A;92,00
AE-1700H-1A2;92,00
AE-1700H-1B;92,00
AEQ-100W-1A;73,00
AEQ-110BW-9A;92,00
AEQ-110W-1A;73,00
AEQ-110W-1A2;73,00
AEQ-110W-1A3;73,00
AEQ-110W-1B;73,00
AEQ-110W-2A;73,00
AEQ-120W-1A;88,00
AEQ-120W-1B;88,00
AEQ-120W-2A;88,00
AEQ-120W-7A;88,00
AMW-870-1A;125,00
AMW-870A-2A;149,00
AMW-870A-3A;149,00
AMW-870D-1A;129,00
AMW-870DA-2A1;154,00
AMW-870DA-2A2;154,00
AMW-870DA-3A;154,00
AMW-880D-1A;149,00
AMW-880D-2A1;149,00
AMW-880D-3A;149,00
AMW-880D-9A;149,00
AQ-230A-1D;64,00
AQ-230A-2A1;64,00
AQ-230A-3A;64,00
AQ-230A-4A;64,00
AQ-230A-7A;64,00
AQ-230A-7B;64,00
AQ-230A-7D;64,00
AQ-230A-9A;64,00
AQ-230EGL-9A;134,00
AQ-230EL-1A;108,00
AQ-230EM-2A;154,00
AQ-230EM-7A;154,00
AQ-230GA-9B;94,00
AQ-230GA-9D;94,00
AQ-230GG-9A;94,00
AQ-240E-3A;129,00
AQ-240E-7A;129,00
AQ-240EG-9A;174,00
AQ-800E-1A;90,00
AQ-800E-3A;90,00
AQ-800E-7A;90,00
AQ-800E-7A2;90,00
AQ-800EG-9A;129,00
AQ-S820W-1A;143,00
AQ-S820W-3B;143,00
AQ-S820W-5A;143,00
AW-48HE-1A;45,00
AW-48HE-7A;45,00
AW-48HE-8A;45,00
AW-80D-1A;75,00
AW-90H-2B;53,00
AW-90H-7B;53,00
AW-90H-9E;53,00
B-640WB-1A;105,00
B-640WC-5A;104,00
B-640WCG-5D;114,00
B-640WD-1A;57,00
B-640WDG-7D;72,00
B-640WGG-9D;114,00
B-640WMR-5A;117,00
B-650WB-1B;104,00
B-650WC-5A;104,00
B-650WD-1A;57,00
BG-169U-3D;144,00
BGA-10D-2A1;149,00
BGA-10D-2A2;149,00
BGA-10D-6A;149,00
BGA-275-4A;193,00
BGA-310C-2A;258,00
BGD-10K-6D;131,00
BGD-10K-7D;131,00
BGD-10KH-2B;129,00
BGD-10KH-2C;129,00
BGD-10KH-4D;129,00
BGD-10KH-9D;129,00
BGD-565U-4D;156,00
BGD-565U-7D;156,00
BGD-565USW-5D;165,00
CA-53W-1Z;49,00
CA-53WB-8B;61,00
CA-53WF-1B;52,00
CA-53WF-2B;52,00
CA-53WF-3B;52,00
CA-53WF-4B;52,00
CA-53WF-8B;52,00
DB-360-1A;63,00
DB-36-1A;50,00
DB-36-9A;50,00
DBC-32-1A;80,00
DBC-32D-1A;94,00
DBC-611G-1D;140,00
DW-291H-1A;85,00
DW-291H-9A;85,00
DW-291HX-1A;85,00
DW-291HX-5A;85,00
DW-5040PG-1D;650,00
DW-5600GC-7D;225,00
DW-5600RW-1D;218,00
DW-5600UE-1D;179,00
DW-5600UHR-1D;198,00
DW-5600WW-7D;180,00
DW-5610UU-3D;198,00
DW-5610UU-8D;198,00
DW-5700PT-5D;245,00
DW-5900TD-9D;239,00
DW-9052-1V;108,00
DW-9052-2V;108,00
DW-9052GBX-1A4;134,00
DW-9052GBX-1A9;134,00
DWE-5600HG-1D;499,00
EFR-526D-2A;179,00
EFR-526D-7A;179,00
EFR-526L-2C;164,00
EFR-552D-1A;172,00
EFR-552D-1A2;172,00
EFR-552D-1A3;172,00
EFR-552D-2A;172,00
EFR-552L-5A;182,00
EFR-571DB-1A1;240,00
EFR-571DC-1A;280,00
EFR-571DC-2A;280,00
EFR-575D-2A;244,00
EFR-S567D-1A;253,00
EFS-S560DC-1A;452,00
EFV-140D-1A;178,00
EFV-140D-2A;178,00
EFV-140D-3A;178,00
EFV-150D-2A;164,00
EFV-150DC-1A;224,00
EFV-160D-1A;185,00
EFV-160D-2A;185,00
EFV-160D-3A;185,00
EFV-540D-1A;175,00
EFV-540D-1A2;175,00
EFV-540D-1A9;175,00
EFV-540DC-1B;219,00
EFV-550D-2A;175,00
EFV-550D-7A;175,00
EFV-550L-1A;175,00
EFV-570D-2A;175,00
EFV-570D-7A;175,00
EFV-600D-2A;185,00
EFV-600D-3C;180,00
EFV-610D-1A;185,00
EFV-610D-3C;185,00
EFV-610DE-2A;214,00
EFV-610DE-3A;214,00
EFV-620D-1A2;198,00
EFV-620D-1A4;198,00
EFV-620D-2A;198,00
EFV-620L-1A;198,00
EFV-630D-2A;207,00
EFV-630D-3A;207,00
EFV-640D-1A;188,00
EFV-640D-2B;188,00
EFV-640D-5A;188,00
EFV-640DC-1A;248,00
EFV-640DC-3A;248,00
EFV-650D-1A;188,00
EFV-650D-2B;188,00
EFV-650D-3A;188,00
EFV-650D-4A;188,00
EFV-C100D-1A;175,00
EFV-C100D-1B;175,00
EFV-C100D-2A;175,00
EFV-C100L-1A;175,00
EFV-C110D-1A4;188,00
EFV-C110D-2A;188,00
EFV-C110L-1A;188,00
EFV-C120D-1A;191,00
EFV-C120D-1A4;191,00
EFV-C120D-2A;191,00
EFV-C120D-3A;191,00
F-105W-1A;42,00
F-200W-1A;36,00
F-200W-9A;36,00
F-201WA-1A;36,00
F-201WA-9A;36,00
F-91W-1D;33,00
F-91W-3D;33,00
F-91WB-1A;49,00
F-91WB-2A1;49,00
F-91WB-8A;49,00
F-91WG-9Q;33,00
F-91WM-1B;33,00
F-91WM-2A;33,00
F-91WM-7A;33,00
F-91WM-9A;33,00
F-91WS-2D;49,00
F-91WS-4D;49,00
F-91WS-7D;49,00
F-91WS-8D;49,00
F-94WA-8D;32,00
F-94WA-9D;32,00
G-7900-1D;169,00
G-7900-2D;169,00
G-7900-3D;169,00
G-7900A-4D;169,00
GA-100-1A1;176,00
GA-100-1A4;176,00
GA-100BP-1A;247,00
GA-110CD-1A2;111,00
GA-110CD-1A3;111,00
GA-110CD-1A9;111,00
GA-110RL-1A;261,00
GA-110TU-1A5;232,00
GA-2000-1A2;219,00
GA-2100-4A;192,00
GA-2100-9A9;192,00
GA-2200M-4A;232,00
GA-2200SKL-4A;279,00
GA-2300-4A;232,00
GA-2300-7A;232,00
GA-700-1A;165,00
GA-700-1B;165,00
GA-700-4A;165,00
GA-B2100BBR-1A;299,00
GBD-100-1D;245,00
GBD-100-2D;245,00
GBD-200-1A1;270,00
GBD-200-1D;270,00
GBD-200-2D;270,00
GBD-200-7D;270,00
GBD-200-9D;270,00
GBX-100-2A;257,00
GD-010-1A1;198,00
GD-010-1D;198,00
GD-010-3D;198,00
GLX-S5600-4D;176,00
GM-5600MF-2D;429,00
GM-5600SCM-1D;415,00
GM-5600SG-9D;429,00
GMD-S5600-1D;197,00
GMD-S5600-2D;197,00
GMD-S5600BA-7D;195,00
GM-S2100MF-1A;449,00
GM-S5600MF-6D;425,00
GX-56BB-1D;246,00
GX-56MF-1D;295,00
HDA-600B-7B;53,00
HDC-700-1A;90,00
HDC-700-3A;90,00
HDC-700-3A2;90,00
HDC-700-3A3;90,00
HS-3V-1B;53,00
HS-3V-1R;53,00
HS-70W-1D;113,00
HS-80TW-1D;140,00
LA-11WR-5A;98,00
LA-20WH-1A;38,00
LA-20WH-1B;38,00
LA-20WH-1C;38,00
LA-20WH-2A;38,00
LA-20WH-4A;38,00
LA-20WH-4A1;38,00
LA-20WH-8A;38,00
LA-20WH-9A;38,00
LA-20WHS-2A;51,00
LA-20WHS-4A;51,00
LA-20WHS-7A;51,00
LA-670WA-1D;50,00
LA-670WA-2D;50,00
LA-670WA-4D;50,00
LA-670WD-1D;52,00
LA-670WEM-7D;71,00
LA-670WGA-1D;64,00
LA-680WA-1D;63,00
LA-680WA-4C;63,00
LA-680WA-7D;63,00
LA-680WGA-1B;95,00
LA-680WGA-1D;95,00
LA-680WGA-4C;95,00
LA-680WGA-9B;95,00
LA-680WGA-9C;95,00
LA-680WGA-9D;95,00
LF-10WH-1D;56,00
LF-10WH-2D;56,00
LF-10WH-3D;56,00
LF-20W-1A;53,00
LF-20W-3A;53,00
LF-20W-8A;53,00
LF-20W-8A2;53,00
LF-30W-1A;64,00
LF-30W-2A;64,00
LF-30W-8A;64,00
LQ-139AMV-1B3;24,00
LQ-139AMV-1E;24,00
LQ-139AMV-1L;24,00
LQ-139AMV-7B3;24,00
LQ-139BMV-1B;24,00
LQ-139BMV-7E;24,00
LQ-142-1E;24,00
LQ-142-7B;24,00
LQ-142-7E;24,00
LQ-142E-1A;25,00
LQ-142E-2A;25,00
LQ-142E-7A;25,00
LQ-142E-9A;25,00
LQ-24B-1B;56,00
LQ-24B-2B;56,00
LQ-24B-3B;56,00
LQ-24B-4B;56,00
LRW-200H-1B;48,00
LRW-200H-2B;48,00
LRW-200H-3C;48,00
LRW-200H-4B;48,00
LRW-200H-4B2;48,00
LRW-200H-4C;48,00
LRW-200H-4E;48,00
LRW-200H-4E2;48,00
LRW-200H-4E4;48,00
LRW-200H-7B;48,00
LRW-200H-7E1;48,00
LRW-200H-7E2;48,00
LRW-200H-9E;48,00
LRW-200H-9E2;48,00
LRW-200HS-2E;69,00
LRW-200HS-4E;69,00
LRW-200HS-7E;69,00
LTP-1094E-7A;48,00
LTP-1094Q-7B1;50,00
LTP-1094Q-7B2;50,00
LTP-1094Q-7B6;50,00
LTP-1094Q-7B7;50,00
LTP-1094Q-7B9;50,00
LTP-1094Q-9A;50,00
LTP-1128A-7B;50,00
LTP-1128G-7B;71,00
LTP-1128G-9A;71,00
LTP-1129A-7A;50,00
LTP-1129G-7B;67,00
LTP-1130N-7B;79,00
LTP-1170A-2A;63,00
LTP-1170A-7A;63,00
LTP-1170G-7A;76,00
LTP-1170N-7A;84,00
LTP-1170N-9A;84,00
LTP-1177A-2A;57,00
LTP-1177A-3A;57,00
LTP-1177A-4A1;57,00
LTP-1183A-1A;63,00
LTP-1183A-2A;63,00
LTP-1183A-7A;63,00
LTP-1183E-7A;53,00
LTP-1183G-7A;84,00
LTP-1183Q-7A;58,00
LTP-1183Q-9A;58,00
LTP-1215A-1A;53,00
LTP-1215A-1A2;53,00
LTP-1215A-2A;53,00
LTP-1215A-2A2;53,00
LTP-1215A-7A;53,00
LTP-1215A-7B2;53,00
LTP-1230D-1C;78,00
LTP-1234DD-1A;89,00
LTP-1234DD-4A;89,00
LTP-1234DD-7A;89,00
LTP-1241D-2A;59,00
LTP-1241D-3A;59,00
LTP-1241D-4A;59,00
LTP-1241D-4A2;59,00
LTP-1241D-4A3;59,00
LTP-1241D-7A2;59,00
LTP-1274D-1A;58,00
LTP-1274D-7A;58,00
LTP-1274D-7B;58,00
LTP-1274G-7A;78,00
LTP-1275D-1A;56,00
LTP-1275D-7A;56,00
LTP-1275D-7B;56,00
LTP-1275G-9A;81,00
LTP-1275SG-7B;79,00
LTP-1275SG-9A;79,00
LTP-1302D-1A1;74,00
LTP-1302D-1A2;74,00
LTP-1302D-7A1;74,00
LTP-1302D-7A2;74,00
LTP-1302D-7B;74,00
LTP-1302DD-4A2;79,00
LTP-1302DD-5A;79,00
LTP-1302DS-4A;102,00
LTP-1302L-1A;68,00
LTP-1302SG-7A;105,00
LTP-1303D-1A;68,00
LTP-1303D-7A;68,00
LTP-1303D-7B;68,00
LTP-1303DD-1A;81,00
LTP-1303DD-2A;81,00
LTP-1303DD-4A;81,00
LTP-1303DD-7A;81,00
LTP-1303L-7B;63,00
LTP-1303SG-7A;99,00
LTP-1308D-1A;74,00
LTP-1308D-1A2;74,00
LTP-1308D-4A;74,00
LTP-1308D-9A;74,00
LTP-1308SG-7A;104,00
LTP-1314D-1A;74,00
LTP-1314D-2A;74,00
LTP-1314L-8A;68,00
LTP-1314SG-1A;104,00
LTP-1335D-1A;78,00
LTP-1335D-1A2;78,00
LTP-1335D-4A;78,00
LTP-1335D-7A;78,00
LTP-1335D-9A;78,00
LTP-B166D-2A;115,00
LTP-B166D-4A;115,00
LTP-B166D-7A;115,00
LTP-B170D-1B;116,00
LTP-B170D-2B;116,00
LTP-B170D-4B;116,00
LTP-V001D-1B;42,00
LTP-V001D-7B;42,00
LTP-V001G-9B;63,00
LTP-V001GL-1B;40,00
LTP-V001GL-7B;40,00
LTP-V001L-1B;37,00
LTP-V001L-7B;37,00
LTP-V001SG-9B;58,00
LTP-V002D-1A;50,00
LTP-V002D-1B;50,00
LTP-V002D-1B3;50,00
LTP-V002D-2B3;50,00
LTP-V002D-4B;50,00
LTP-V002D-7A;50,00
LTP-V002D-7B;50,00
LTP-V002D-7B3;50,00
LTP-V002G-1B;71,00
LTP-V002G-7B;71,00
LTP-V002GL-1B;45,00
LTP-V002GL-7B;45,00
LTP-V002GL-7B2;45,00
LTP-V002L-1A;42,00
LTP-V002L-1B;42,00
LTP-V002L-1B3;42,00
LTP-V002L-7B;42,00
LTP-V002L-7B3;42,00
LTP-V002SG-9A;69,00
LTP-V004D-1B;52,00
LTP-V004D-1B2;52,00
LTP-V004D-2B;52,00
LTP-V004D-7B;52,00
LTP-V004D-7B2;52,00
LTP-V004G-7B;73,00
LTP-V004GL-7A;47,00
LTP-V004L-1A;45,00
LTP-V004L-2B;45,00
LTP-V004L-7A;45,00
